[2026-06-07 20:22:52,647][datasets][INFO] - PyTorch version 2.12.0+cpu available.
[2026-06-07 20:22:53,347][httpx][INFO] - HTTP Request: GET http://localhost:8080/v1/meta "HTTP/1.1 200 OK"
[2026-06-07 20:22:53,358][src.indexer][INFO] - Connected to Weaviate: localhost:8080
[2026-06-07 20:22:53,361][sentence_transformers.SentenceTransformer][INFO] - Use pytorch device_name: cpu
[2026-06-07 20:22:53,361][sentence_transformers.SentenceTransformer][INFO] - Load pretrained SentenceTransformer: all-MiniLM-L6-v2
[2026-06-07 20:22:55,406][src.indexer][INFO] - Embedding model loaded: all-MiniLM-L6-v2
[2026-06-07 20:22:55,767][src.pipeline][INFO] - RAGPipeline ready model=llama3.2, top_k=3, alpha=0.75
[2026-06-07 20:22:55,776][httpx][INFO] - HTTP Request: GET http://localhost:8080/v1/schema/PythonDocs "HTTP/1.1 200 OK"
[2026-06-07 20:22:55,780][httpx][INFO] - HTTP Request: GET http://localhost:8080/v1/schema/PythonDocs "HTTP/1.1 200 OK"
[2026-06-07 20:22:55,781][src.pipeline][INFO] - RAGPipeline attached to Weaviate collection: PythonDocs
[2026-06-07 20:22:55,794][src.indexer][INFO] - Weaviate connection closed
